CountryName_x,CountryCode_x,RegionName,RegionCode_x,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,CountryName_y,CountryCode_y,RegionCode_y,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,ConfirmedCasesAtEOM,ConfirmedDeathsAtEOM,StateArea_km2
United States,USA,Minnesota,US_MN,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,,,2.0,1.0,3.0,1.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,415302.0,5382.0,69.44,69.44,76.19,76.19,62.92,62.92,66.55,66.55,37.5,37.5,United States,USA,US_MN,5706494.0,2857869.0,2917202.0,,,,,25.343793636504785,,733192.0,727957.0,792297.0,763154.0,718287.0,763888.0,641260.0,399136.0,235898.0,415302.0,5382.0,225163.37063999998
United States,USA,Missouri,US_MO,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,,2.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,,,2.0,0.0,3.0,2.0,,,3.0,0.0,3.0,1.0,2.0,1.0,,,,,,,,,,,440756.0,5724.0,49.07,49.07,49.52,49.52,61.3,61.3,59.35,59.35,75.0,75.0,United States,USA,US_MO,6154913.0,3159405.0,3311378.0,,,,,34.09160430221419,,790305.0,815634.0,880980.0,826424.0,765190.0,838581.0,781730.0,506642.0,265299.0,440756.0,5724.0,180540.43292999998
United States,USA,Mississippi,US_MS,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,3.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,215811.0,4787.0,53.24,53.24,60.24,60.24,51.98,51.98,52.26,52.26,50.0,50.0,United States,USA,US_MS,2961279.0,1525920.0,1627395.0,,,,,23.607436813480778,,414938.0,423569.0,435494.0,415980.0,363520.0,391077.0,366193.0,234624.0,107920.0,215811.0,4787.0,125438.39567999999
United States,USA,Montana,US_MT,STATE_TOTAL,2020-12-31,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,1.0,,,3.0,0.0,1.0,1.0,3.0,0.0,,,,,,,,,,,81555.0,961.0,51.85,51.85,60.24,60.24,55.16,55.16,55.89,55.89,50.0,50.0,United States,USA,US_MT,1084225.0,549030.0,545833.0,,,,,2.846989305074642,,126699.0,128989.0,146517.0,131090.0,120946.0,159002.0,146788.0,87963.0,46869.0,81555.0,961.0,380832.1296
United States,USA,North Carolina,US_NC,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,,,2.0,1.0,2.0,1.0,,,4.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,539545.0,6748.0,64.81,64.81,74.52,74.52,63.23,63.23,63.33,63.33,62.5,62.5,United States,USA,US_NC,10439388.0,5556412.0,5897122.0,,,,,74.89301733353918,,1437087.0,1430405.0,1553003.0,1603185.0,1419884.0,1418606.0,1370673.0,826625.0,394067.0,539545.0,6748.0,139390.67181
United States,USA,North Dakota,US_ND,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,92495.0,1299.0,47.69,47.69,58.33,58.33,53.28,53.28,53.75,53.75,50.0,50.0,United States,USA,US_ND,779094.0,358946.0,354186.0,,,,,4.254853823810236,,84494.0,84899.0,117455.0,86782.0,76663.0,94390.0,78864.0,54276.0,35310.0,92495.0,1299.0,183107.11302
United States,USA,Nebraska,US_NE,STATE_TOTAL,2020-12-31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,166798.0,1651.0,47.22,47.22,67.86,67.86,56.98,56.98,54.4,54.4,75.0,75.0,United States,USA,US_NE,1961504.0,972230.0,994287.0,,,,,9.790071819741552,,265048.0,249745.0,283191.0,255428.0,221776.0,248112.0,214373.0,142915.0,85929.0,166798.0,1651.0,200356.44642
United States,USA,New Hampshire,US_NH,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,44882.0,759.0,49.07,49.07,63.1,63.1,52.5,52.5,52.86,52.86,50.0,50.0,United States,USA,US_NH,1377529.0,689405.0,712302.0,,,,,56.890205615917594,,147075.0,174790.0,167724.0,168624.0,192830.0,208108.0,182247.0,103314.0,56994.0,44882.0,759.0,24213.816509999997
United States,USA,New Jersey,US_NJ,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,529027.0,19042.0,54.63,54.63,63.1,63.1,63.96,63.96,62.38,62.38,75.0,75.0,United States,USA,US_NJ,9288994.0,4453585.0,4740817.0,,,,,411.1541920631506,,1083226.0,1142584.0,1145509.0,1236030.0,1219969.0,1213196.0,1072031.0,677334.0,404523.0,529027.0,19042.0,22592.48277
United States,USA,New Mexico,US_NM,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,142864.0,2477.0,75.0,75.0,76.19,76.19,72.81,72.81,77.86,77.86,37.5,37.5,United States,USA,US_NM,2117522.0,1159699.0,1195606.0,,,,,6.724066275619549,,308727.0,306554.0,322950.0,297577.0,265453.0,303417.0,289822.0,177872.0,82933.0,142864.0,2477.0,314916.88409999997
United States,USA,Nevada,US_NV,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,224731.0,3122.0,54.63,54.63,63.1,63.1,54.9,54.9,57.38,57.38,37.5,37.5,United States,USA,US_NV,3104614.0,1852839.0,1827437.0,,,,,10.840875558618256,,473403.0,458570.0,511691.0,540832.0,452032.0,440503.0,444638.0,258533.0,100075.0,224731.0,3122.0,286380.37428
United States,USA,New York,US_NY,STATE_TOTAL,2020-12-31,2.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,,,2.0,1.0,3.0,1.0,,,3.0,1.0,2.0,1.0,3.0,0.0,,,,,,0.0,0.0,0.0,2.0,,978783.0,37799.0,72.69,72.69,78.1,78.1,75.16,75.16,71.61,71.61,100.0,100.0,United States,USA,US_NY,20201249.0,9534666.0,10268879.0,,,,,142.967595744499,,2218487.0,2421069.0,2845428.0,2671618.0,2474249.0,2537391.0,2308932.0,1469824.0,856548.0,978783.0,37799.0,141299.49443999998
United States,USA,Ohio,US_OH,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,700380.0,13621.0,58.33,58.33,64.29,64.29,61.35,61.35,64.76,64.76,37.5,37.5,United States,USA,US_OH,11799448.0,5744422.0,6066472.0,,,,,101.63273587851737,,1413162.0,1506685.0,1510864.0,1495769.0,1426939.0,1597051.0,1430585.0,918459.0,511381.0,700380.0,13621.0,116098.89173999999
United States,USA,Oklahoma,US_OK,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,1.0,,,3.0,0.0,2.0,1.0,2.0,0.0,,,,,,,,,,,291209.0,2489.0,44.44,44.44,63.1,63.1,50.16,50.16,50.18,50.18,50.0,50.0,United States,USA,US_OK,3959353.0,2022255.0,2079155.0,,,,,21.870321812571397,,534360.0,520301.0,585830.0,535451.0,458844.0,510079.0,487376.0,317317.0,151850.0,291209.0,2489.0,181037.71101
United States,USA,Oregon,US_OR,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,,1.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,113909.0,1477.0,61.11,61.11,64.29,64.29,60.83,60.83,60.6,60.6,62.5,62.5,United States,USA,US_OR,4237256.0,2124048.0,2181304.0,,,,,16.62935418685249,,498276.0,512003.0,580168.0,592115.0,493012.0,576054.0,554183.0,318598.0,180943.0,113909.0,1477.0,254805.80618999997
United States,USA,Pennsylvania,US_PA,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,648574.0,16030.0,63.89,63.89,71.43,71.43,68.12,68.12,70.71,70.71,50.0,50.0,United States,USA,US_PA,13002700.0,6403661.0,6794266.0,,,,,109.00097429335567,,1439094.0,1616511.0,1705746.0,1594658.0,1610123.0,1802742.0,1647615.0,1100333.0,681105.0,648574.0,16030.0,119289.75941999999
United States,USA,Rhode Island,US_RI,STATE_TOTAL,2020-12-31,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,,1.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,87949.0,1930.0,65.74,65.74,75.0,75.0,72.6,72.6,70.48,70.48,87.5,87.5,United States,USA,US_RI,1097379.0,,,,,,,274.2395414279255,,,,,,,,,,,87949.0,1930.0,4001.53455
United States,USA,South Carolina,US_SC,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,307507.0,5296.0,49.07,49.07,58.33,58.33,55.36,55.36,57.92,57.92,37.5,37.5,United States,USA,US_SC,5118425.0,2613483.0,2777111.0,,,,,61.71872264119422,,650352.0,667132.0,738783.0,702440.0,636771.0,683035.0,707685.0,419540.0,184856.0,307507.0,5296.0,82931.47979999999
United States,USA,South Dakota,US_SD,STATE_TOTAL,2020-12-31,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,,,2.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,99164.0,1488.0,41.67,41.67,58.33,58.33,44.43,44.43,45.42,45.42,37.5,37.5,United States,USA,US_SD,886667.0,447871.0,450867.0,,,,,4.439335453513888,,120814.0,112972.0,126540.0,111610.0,99512.0,116125.0,100550.0,68334.0,42281.0,99164.0,1488.0,199729.66884
United States,USA,Tennessee,US_TN,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,586802.0,6907.0,64.81,64.81,71.43,71.43,62.66,62.66,64.46,64.46,50.0,50.0,United States,USA,US_TN,6910840.0,3468728.0,3672397.0,,,,,63.313598484942105,,865908.0,886991.0,948127.0,964722.0,868923.0,916846.0,893144.0,544886.0,251577.0,586802.0,6907.0,109152.53855999999
United States,USA,Texas,US_TX,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,1772784.0,28066.0,56.48,56.48,60.71,60.71,56.67,56.67,57.62,57.62,50.0,50.0,United States,USA,US_TX,29145505.0,15255472.0,15630971.0,,,,,41.89613464826453,,4495213.0,4313685.0,4534650.0,4545439.0,3715802.0,3577559.0,3058534.0,1803151.0,842409.0,1772784.0,28066.0,695660.95404
United States,USA,Utah,US_UT,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,0.0,,,,,,,,,,,276612.0,1269.0,54.63,54.63,63.1,63.1,53.02,53.02,53.45,53.45,50.0,50.0,United States,USA,US_UT,3271616.0,1730966.0,1723194.0,,,,,14.878936569063404,,611965.0,525511.0,578627.0,514840.0,333571.0,333179.0,288455.0,179626.0,88386.0,276612.0,1269.0,219882.38103
United States,USA,Virginia,US_VA,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,0.0,0.0,0.0,2.0,,349584.0,5032.0,63.89,63.89,64.29,64.29,69.17,69.17,68.33,68.33,75.0,75.0,United States,USA,US_VA,8631393.0,4515968.0,4715559.0,,,,,77.90992488729859,,1127874.0,1142685.0,1297534.0,1288398.0,1199821.0,1188888.0,1066448.0,616379.0,303500.0,349584.0,5032.0,110786.82225
United States,USA,Vermont,US_VT,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,,1.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,3.0,0.0,,,,,,,,,,,7412.0,136.0,69.44,69.44,71.43,71.43,74.9,74.9,73.1,73.1,87.5,87.5,United States,USA,US_VT,643077.0,315725.0,327033.0,,,,,25.820844077935046,,63835.0,78808.0,81380.0,74725.0,80915.0,96928.0,88319.0,49872.0,27977.0,7412.0,136.0,24905.343839999998
United States,USA,Washington,US_WA,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,246752.0,3461.0,64.81,64.81,71.43,71.43,64.48,64.48,62.98,62.98,75.0,75.0,United States,USA,US_WA,7705281.0,3822449.0,3872795.0,,,,,41.726604612878596,,936415.0,951634.0,1080493.0,1068547.0,938806.0,1016339.0,914363.0,509288.0,279359.0,246752.0,3461.0,184661.10702
United States,USA,Wisconsin,US_WI,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,520438.0,5242.0,56.02,56.02,65.0,65.0,56.15,56.15,58.81,58.81,37.5,37.5,United States,USA,US_WI,5893718.0,2991325.0,3056652.0,,,,,34.74373368408607,,724736.0,759105.0,808554.0,765686.0,748954.0,818035.0,704885.0,450759.0,267263.0,520438.0,5242.0,169633.98504
United States,USA,West Virginia,US_WV,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,,,,,,,,,,,85334.0,1338.0,54.63,54.63,60.24,60.24,61.87,61.87,63.57,63.57,50.0,50.0,United States,USA,US_WV,1793716.0,947410.0,978947.0,,,,,28.58262955510243,,202753.0,217366.0,234197.0,243824.0,224404.0,271172.0,272377.0,174501.0,85765.0,85334.0,1338.0,62755.45769999999
United States,USA,Wyoming,US_WY,STATE_TOTAL,2020-12-31,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,2.0,,,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,44409.0,438.0,61.11,61.11,72.62,72.62,60.83,60.83,62.38,62.38,50.0,50.0,United States,USA,US_WY,576851.0,330729.0,317830.0,,,,,2.277031210143197,,83898.0,78523.0,94403.0,84233.0,71877.0,91709.0,77560.0,44614.0,21742.0,44409.0,438.0,253334.69186999998
